#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
274,"Da Ya Think I'm Sexy?","Rod Stewart",112,7A,69,2023-07-14,05:31,76,"soft rock","Blondes Have More Fun",1978-11-24,72,1,0,85,0,10,-8,D Minor,4,4z7maGZkAonDlXlwo8q69f,USWB10807926
275,"Una Vaina Loca","Fuego",117,3B,68,2023-07-14,03:08,71,"trap latino, reggaeton","Una Vaina Loca",2011-08-10,79,17,0,71,0,0,-13,C♯/D♭ Major,4,6YYmoV9YbBefsspGmqFHbs,QMFME1322838
276,"Love Me Like You Do - From  Fifty Shades Of Grey ","Ellie Goulding",190,4B,61,2023-07-14,04:12,79,"","Delirium (Deluxe)",2015-11-06,26,25,0,28,0,10,-7,G#/A♭ Major,4,3zHq9ouUJQFQRf3cm1rRLu,GBUM71406823
277,"Where Is The Love?","Black Eyed Peas",94,7B,70,2023-07-14,04:32,84,"","Elephunk",2003-06-24,83,11,0,81,10,10,-3,F Major,4,0xmjwnQ3FNE6HuWCt2nHdZ,USIR10311862
278,"It's Raining Men","The Weather Girls",136,4A,93,2023-07-14,03:31,56,"","The Best of Disco",1996-11-25,68,32,0,61,10,70,-6,F Minor,4,5g6nzsOxwxdoj6sqAl0NXB,USSM19913325
279,"The Rockafeller Skank","Fatboy Slim",153,9B,99,2023-07-14,06:53,0,"big beat","You've Come a Long Way Baby",1998-10-19,67,1,0,7,20,30,-7,G Major,4,6uJrLZzBxS4JewGnihjNzM,GBBMQ9900048
280,"Dynamite","Taio Cruz",120,12B,78,2023-07-14,03:22,76,"","The Rokstarr Hits Collection",2010-01-01,75,0,0,81,0,0,-4,E Major,4,2CEgGE6aESpnmtfiZwYlbV,GBUM71003721
281,"Heaven Is A Place On Earth","Belinda Carlisle",123,12B,90,2023-07-14,04:07,12,"","Heaven on Earth (Remastered & Expanded Special Edition)",1987-10-05,63,1,0,69,0,0,-7,E Major,4,4V9BTST4BSkvOL4xIQNHuS,GBAAA8700010
282,"Hey Boy Hey Girl","The Chemical Brothers",127,10B,92,2023-07-14,04:50,68,"big beat, alternative dance, electronic, breakbeat","Surrender",1999-01-01,63,12,51,36,0,10,-5,D Major,4,7kXmJwrZGIhDaLT9sNo3ut,GBAAA9900303
283,"7 rings","Ariana Grande",140,12A,32,2023-07-14,02:58,86,"pop","thank u, next",2019-02-08,78,59,0,33,30,0,-11,C♯/D♭ Minor,4,6ocbgoVGwYJhOv1GgI9NsF,USUM71900110
284,"Rock Your Baby","George McCrae",104,3B,91,2023-07-14,03:20,64,"disco, classic soul","The Singles 1974 - 76",2010-10-15,59,17,0,89,0,0,-6,C♯/D♭ Major,4,6pMHMzwTsWIxLigr54GGVm,GBAYE7400155
285,"Love Is In The Air","John Paul Young",123,8B,57,2023-07-14,03:28,0,"","Classic Hits",1989-06-05,62,4,0,95,0,0,-14,C Major,4,38GqIQ4RVkat91RnQrLJYP,AUAP07800004
286,"Life","Des'ree",105,3B,74,2023-07-14,03:36,64,"","Supernatural",1998-06-29,72,11,0,72,0,0,-5,C♯/D♭ Major,4,5LGqFIVBf3ZUeFBpc87CFS,GBBBL9802010
